종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"266360","KODEX 미디어&엔터테인먼트","24850","-75","-0.30","24858.34","24900","24900","24700","5965","147919050","47215000000","0","1900000","KRX 미디어&엔터테인먼트","3813.55","-9.73","-0.25"
"244580","KODEX 바이오","12440","0","0.00","12516.86","12560","12560","12420","203323","2533712510","35827200000","0","2880000","FnGuide 바이오 지수","4295.42","-33.70","-0.78"
"091160","KODEX 반도체","39705","635","1.63","39828.87","39330","39845","39235","284291","11262288535","258082500000","0","6500000","KRX 반도체","4073.53","68.60","1.71"
"325020","KODEX 배당가치","13340","-75","-0.56","13322.29","13415","13435","13275","5099","67907720","188094000000","0","14100000","FnGuide SLV 배당가치 지수","1546.03","-8.95","-0.58"
"211900","KODEX 배당성장","15560","-110","-0.70","15592.25","15670","15670","15555","1422","22194595","32676000000","0","2100000","코스피 배당성장 50","3782.79","-27.74","-0.73"
"237370","KODEX 배당성장채권혼합","12055","-20","-0.17","12050.37","12075","12075","12045","16391","197668920","21699000000","0","1800000","배당성장채권혼합지수","1909.29","-4.76","-0.25"
"244670","KODEX 밸류Plus","9540","-55","-0.57","9577.95","9550","9575","9530","1100","10510495","10494000000","0","1100000","FnGuide 벨류 Plus 지수","1824.51","-9.55","-0.52"
"140700","KODEX 보험","6590","-55","-0.83","6604.14","6645","6655","6590","10711","70964300","15816000000","0","2400000","KRX 보험","1277.91","-10.61","-0.82"
"102780","KODEX 삼성그룹","9950","-5","-0.05","9954.75","10020","10035","9930","176405","1757385070","1500460000000","0","150800000","삼성그룹","9812.86","-30.13","-0.31"
"213610","KODEX 삼성그룹밸류","9365","-25","-0.27","9368.48","9430","9430","9350","2473","23223140","8428500000","0","900000","WISE 삼성그룹 밸류 인덱스","9129.51","-44.12","-0.48"
"251350","KODEX 선진국MSCI World","21700","10","0.05","21706.74","21705","21715","21580","48587","1053836130","373240000000","0","17200000","MSCI World","3237.07","-6.88","-0.21"
"117460","KODEX 에너지화학","18555","-95","-0.51","18552.22","18650","18650","18430","2608","48321185","22080450000","0","1190000","KRX 에너지화학","3683.85","-26.79","-0.72"
"140710","KODEX 운송","5770","-100","-1.70","5769.33","5835","5835","5745","82155","475980795","18464000000","0","3200000","KRX 운송","1159.30","-19.00","-1.61"
"400570","KODEX 유럽탄소배출권선물ICE(H)","12715","120","0.95","12809.16","12750","12750","12690","115222","1464730545","71204000000","0","5600000","ICE EUA Carbon Futures Index(Excess Return)","1572.93","0.00","0.00"
"144600","KODEX 은선물(H)","4635","-95","-2.01","4636.01","4675","4675","4630","149854","697030135","97335000000","0","21000000","S&P GSCI Silver Index(TR)","737.29","6.46","0.88"
"091170","KODEX 은행","7555","-50","-0.66","7555.49","7595","7605","7545","146564","1108515035","295778250000","0","39150000","KRX 은행","739.81","-7.70","-1.03"
"114800","KODEX 인버스","4005","25","0.63","4006.27","3975","4015","3965","14891723","59434022805","1156243500000","0","288700000","코스피 200 선물지수","1995.56","-10.37","-0.52"
"101280","KODEX 일본TOPIX100","17025","95","0.56","16956.40","17130","17130","16730","2572","43809235","10215000000","0","600000","TOPIX100","1325.68","-3.07","-0.23"
"091180","KODEX 자동차","21235","-300","-1.39","21255.64","21520","21520","21210","236725","5047294100","780386250000","0","36750000","KRX 자동차","2151.89","-30.08","-1.38"
"363570","KODEX 장기종합채권(AA-이상)액티브KAP","95310","-390","-0.41","95277.21","95510","95510","95310","36","3436360","86732100000","0","910000","KAP 한국장기종합채권지수(AA-이상, 총수익)","299.26","-1.43","-0.48"
"273130","KODEX 종합채권(AA-이상)액티브","108240","-245","-0.23","108246.19","108205","108325","108195","18201","1970562100","1448900640000","0","13386000","KAP 한국종합채권지수","250.32","-0.64","-0.26"
"102970","KODEX 증권","8180","-65","-0.79","8175.97","8250","8250","8145","122106","1000009440","52761000000","0","6450000","KRX 증권","782.36","-7.85","-0.99"
"169950","KODEX 차이나A50","22750","25","0.11","22766.87","22700","22780","22450","2547","57502675","31850000000","0","1400000","FTSE China A50 Index","15679.33","107.05","0.69"
"283580","KODEX 차이나CSI300","14840","150","1.02","14782.58","14680","14840","14670","44063","651537390","100912000000","0","6800000","CSI 300 Index","4921.51","38.03","0.78"
"099140","KODEX 차이나H","17350","35","0.20","17369.60","17300","17395","17270","11654","201785895","53785000000","0","3100000","Hang Seng China H","8096.44","-2.32","-0.03"
"204450","KODEX 차이나H레버리지(H)","3860","-15","-0.39","3886.41","3880","3930","3845","65472","253997565","40916000000","0","10600000","Hang Seng China H","8096.44","-2.32","-0.03"
"256750","KODEX 차이나심천ChiNext(합성)","15040","60","0.40","15246.85","14945","15045","14680","14307","214043125","57152000000","0","3800000","SZSE ChiNext Price Index","3322.80","40.90","1.25"
"372330","KODEX 차이나항셍테크","7225","-25","-0.34","7256.03","7245","7310","7185","218017","1577432475","143055000000","0","19800000","Hang Seng TECH Index","5475.70","3.83","0.07"
"117680","KODEX 철강","8470","-110","-1.28","8469.84","8555","8565","8455","111920","951183155","56325500000","0","6650000","KRX 철강","1670.30","-18.19","-1.08"
